,GNN,Neural Network,Linear Regression,Rolling Mean
0,0.14976898,0.34047884,0.0030305833,0.15690684
1,0.21420074,0.061474927,0.15998411,1.8626451e-09
2,0.035053566,0.42279863,0.56483173,0.017755013
3,0.02996441,0.10115286,0.055294394,0.003982976
4,0.00091668963,0.116233066,0.44169056,0.029633678
5,0.039575964,0.5272426,0.058080107,0.12722921
6,0.2302196,0.16032524,0.03035608,0.005326897
7,0.07785991,0.30468997,0.07525563,1.8626451e-09
8,0.008035898,0.05822307,0.14525151,1.8626451e-09
9,0.011090592,0.20485231,0.05455339,0.108361736
10,0.14741707,0.026414514,0.11053628,0.10493758
11,0.03097248,0.08628066,0.017580777,1.9651837
12,0.07494241,0.38057172,0.03584249,0.0020071417
13,0.04096389,1.4791435,0.0013367385,0.3291856
14,0.10445833,0.110943146,0.09051296,0.0029496104
15,0.14998344,0.01208852,0.006630674,0.11287224
16,0.0745261,0.47310388,0.010955602,0.11154723
17,0.08223888,0.8156232,0.00019560754,0.0018593818
18,0.018904636,0.96257913,0.020857573,0.012656361
19,0.0844937,0.94497514,0.0064076334,0.11929737
20,0.10443088,0.66911805,0.22147441,0.03567615
21,0.01412566,0.40726656,0.013079926,0.9265369
22,0.07931796,2.0900395,0.1864385,0.029836595
23,0.16919553,1.1841655,0.119577706,0.033043116
24,0.2526914,0.9045751,0.11458036,0.011369258
25,0.018066406,0.4009072,0.13842958,0.06338811
26,0.25481844,0.21573429,0.09859449,0.14831766
27,0.03865835,0.2973789,0.07332161,0.051567167
28,0.0694962,0.21653756,0.06895557,0.0049485266
29,0.009912044,0.34453326,0.008763254,0.6940471
30,0.047046244,0.42570412,0.010079145,0.02372557
31,0.0053242296,0.92412347,0.14280832,1.8626451e-09
32,0.0096851885,0.2558652,0.016508356,0.029267728
33,0.008227885,0.8164053,0.03686124,0.036168143
34,0.100990236,1.1413119,0.028674021,0.04225883
35,0.03787893,0.45443177,0.012334928,0.032774165
36,0.12242174,0.08499345,0.011763811,0.44581157
37,0.0070353746,0.22012113,0.05841124,0.00010752678
38,0.036138177,0.024003152,0.12649226,0.2133627
39,0.102737755,0.63118804,0.0051188767,1.8626451e-09
40,0.014635682,0.18596941,0.5177288,0.010185301
41,0.020468831,0.26036835,0.017335132,0.11486995
42,0.06293404,0.3118277,0.12468988,0.17759752
43,0.4808414,0.212829,0.007897615,1.8626451e-09
44,0.034934014,0.53445596,0.12649226,1.8626451e-09
45,0.0780565,0.009759998,0.005961068,0.02731049
46,0.12105614,0.69559723,3.477931e-05,0.031045437
47,0.0052310545,0.39517882,0.20946383,0.13512206
48,0.061344914,1.3529657,0.03401044,0.061574057
49,0.16842991,0.7153268,0.0048670024,0.009516567
50,0.039959073,0.06618613,0.12649226,0.09943795
51,0.1448499,0.061993815,0.034521967,0.059161097
52,0.007187426,0.5769182,0.2561884,0.004225876
53,0.047249362,1.4266653,0.044196595,0.042958327
54,0.0118917525,1.4713228,0.0075901747,0.003894627
55,0.118187785,0.24988964,0.025680512,0.06429532
56,0.075875126,0.06943877,0.26009905,0.035286725
57,0.64401853,0.06969469,0.01294677,0.0547629
58,0.103895724,0.29815108,0.13677078,0.023708463
59,0.006905444,0.06614632,0.12649226,0.02801837
60,0.15357423,0.36482957,0.12649226,0.51811
61,0.2243894,0.4523059,0.13489527,0.023305923
62,0.028579965,0.06310909,0.006851107,0.016418822
63,0.023420453,0.046460025,0.013345197,0.21801388
64,0.019301742,0.07300699,0.1216031,0.82703257
65,0.03603348,1.4180236,0.12649226,0.029778391
66,0.07016038,0.26875734,0.10525364,0.043097384
67,0.08613855,0.057198048,0.0064958185,0.0063562095
68,0.14522448,1.0035506,0.009786859,0.121554494
69,0.015906282,0.10761847,0.12980673,0.024977848
70,0.19873595,0.22052343,0.049639076,0.025888503
71,0.061756343,0.47000098,0.16840528,0.05430919
72,0.033838958,0.12337619,0.07609773,0.009780694
73,0.017365396,0.37153244,0.009324461,0.0953303
74,0.042993546,0.25314122,0.08940792,0.09097579
75,0.15892714,1.8809144,0.015629873,0.11791536
76,0.5744528,0.9168738,0.03225562,0.022376597
77,0.05551687,0.44929498,0.05578178,0.010556977
78,0.060848534,0.4300962,0.030183017,0.053661495
