,GNN,Neural Network,Linear Regression,Rolling Mean
Bus_1,0.06211479380726814,1.138657808303833,0.16256272792816162,0.14363926649093628
Bus_2,0.12014883011579514,0.4246516525745392,0.05211067572236061,0.05632546544075012
Bus_3,0.10645915567874908,1.062953233718872,0.11978301405906677,0.10983864217996597
Bus_4,0.06161253899335861,0.23816154897212982,0.03878206014633179,0.09626516699790955
Bus_5,0.0404488667845726,0.09895654022693634,0.1264922022819519,1.862645149230957e-09
Bus_6,0.11120142042636871,0.15472881495952606,0.04029327630996704,0.14640383422374725
Bus_7,0.09320801496505737,0.4091695249080658,0.04856070503592491,0.05351320281624794
Bus_8,0.06521949172019958,0.811147928237915,0.7585257291793823,0.00010900506458710879
Bus_9,0.028836391866207123,0.15856926143169403,0.1264922022819519,1.862645149230957e-09
Bus_10,0.34373459219932556,1.3316928148269653,0.32762211561203003,0.5796433091163635
Bus_11,0.12653736770153046,1.5896995067596436,0.2303045392036438,0.19715248048305511
Bus_12,0.6362513899803162,5.355794906616211,1.0011886358261108,1.066365122795105
Bus_13,0.05996287614107132,0.8767551183700562,0.10195665061473846,0.09575064480304718
Bus_14,0.09743986278772354,0.4492573142051697,0.03081495128571987,0.039425186812877655
Bus_15,0.16739672422409058,1.8746744394302368,0.3593811094760895,0.28139710426330566
Bus_16,0.0855417475104332,0.5475870370864868,0.06991056352853775,0.07041347026824951
Bus_17,0.08687345683574677,0.2831886410713196,0.019329138100147247,0.030234353616833687
Bus_18,0.20065852999687195,0.4638221263885498,0.12822993099689484,0.32839035987854004
Bus_19,0.16377173364162445,0.42981117963790894,0.0770861878991127,0.20978955924510956
Bus_20,0.062381573021411896,0.35591670870780945,0.045012447983026505,0.05070088803768158
Bus_21,0.10736268013715744,0.3964012563228607,0.03081495128571987,0.039425186812877655
Bus_22,0.08378157764673233,0.19360078871250153,0.016785375773906708,0.02817600592970848
Bus_23,0.07296480238437653,0.12211254984140396,0.006839198525995016,0.019712595269083977
Bus_24,0.10149877518415451,0.5463746786117554,0.06277685612440109,0.1353124976158142
Bus_25,0.3577401340007782,0.8881160020828247,0.19294966757297516,0.4617365896701813
Bus_26,0.5741832852363586,3.0023274421691895,0.5142570734024048,0.9073595404624939
Bus_27,0.22117331624031067,1.347872257232666,0.1544266939163208,0.24866391718387604
Bus_28,0.08009189367294312,0.47664785385131836,0.04146632179617882,0.04788860306143761
Bus_29,0.08789906650781631,0.4927001893520355,0.06635567545890808,0.06760118901729584
Bus_30,0.07627717405557632,0.08011777698993683,0.1264922022819519,1.862645149230957e-09
Bus_31,0.17791356146335602,0.8414613008499146,0.09364514797925949,0.3033542335033417
Bus_32,0.6114392876625061,1.3041373491287231,0.2209460735321045,1.2377549409866333
Bus_33,0.10970061272382736,0.24447566270828247,0.009084119461476803,0.02350642718374729
Bus_34,0.048720262944698334,0.271989643573761,0.023591412231326103,0.06027098745107651
Bus_35,0.03242943808436394,0.4050009548664093,0.02011997066438198,0.0337194949388504
Bus_36,0.1345696747303009,0.46611449122428894,0.02750430814921856,0.03158554434776306
Bus_37,0.022326990962028503,0.05865469574928284,0.1264922022819519,1.862645149230957e-09
Bus_38,0.05394464358687401,0.0421568788588047,0.1264922022819519,1.862645149230957e-09
Bus_39,0.03529416397213936,0.1992020159959793,0.011564281769096851,0.02598990686237812
Bus_40,0.08604014664888382,0.06534475833177567,0.04855869710445404,0.01903204619884491
Bus_41,0.052346255630254745,0.2286093682050705,0.022296704351902008,0.03561580181121826
Bus_42,0.026778249070048332,0.044583845883607864,0.014007081277668476,0.035815656185150146
Bus_43,0.03760824352502823,0.08988554030656815,0.005552881397306919,0.017326608300209045
Bus_44,0.0413912832736969,0.2346716821193695,0.006067041773349047,0.015401423908770084
Bus_45,0.04873882979154587,0.3099047541618347,0.04029829427599907,0.05101723223924637
Bus_46,0.04783479496836662,0.38344812393188477,0.05506269633769989,0.06395745277404785
Bus_47,0.07139061391353607,0.24849241971969604,0.018989210948348045,0.032728031277656555
Bus_48,0.029255587607622147,0.06821920722723007,0.005945377983152866,0.019251784309744835
Bus_49,0.1501857340335846,0.7171573638916016,0.1270872950553894,0.15738074481487274
Bus_50,0.05377807468175888,0.21620693802833557,0.005701822694391012,0.01636401191353798
Bus_51,0.03376253694295883,0.17609038949012756,0.005701822694391012,0.01636401191353798
Bus_52,0.02459726855158806,0.10510925948619843,0.005552881397306919,0.017326608300209045
Bus_53,0.05712549388408661,0.07446962594985962,0.007860103622078896,0.022139552980661392
Bus_54,0.07364930212497711,0.29816436767578125,0.13183151185512543,0.084977887570858
Bus_55,0.07482369244098663,0.07008424401283264,0.06225692480802536,0.038073450326919556
Bus_56,0.05031146481633186,0.1548217386007309,0.19855646789073944,0.06292865425348282
Bus_57,0.06745513528585434,0.06623732298612595,0.008956600911915302,0.011551068164408207
Bus_58,0.02037958987057209,0.09473008662462234,0.008956600911915302,0.011551068164408207
Bus_59,0.05817662551999092,0.07022624462842941,0.01185899879783392,0.01684008538722992
Bus_60,0.1556989550590515,0.3920414447784424,0.06876269727945328,0.0750819519162178
Bus_61,0.04150250554084778,0.13169163465499878,0.03125545009970665,0.030824922025203705
Bus_62,0.03755801543593407,0.1689891666173935,0.04960167780518532,0.019623583182692528
Bus_63,0.03294370695948601,0.04708802327513695,0.1264922022819519,1.862645149230957e-09
Bus_64,0.061702899634838104,0.08574026077985764,0.1264922022819519,1.862645149230957e-09
Bus_65,0.42614078521728516,2.2202255725860596,0.3195623457431793,0.5727154016494751
Bus_66,0.11128178983926773,0.4139131009578705,0.016898412257432938,0.03790619596838951
Bus_67,0.09899607300758362,0.3170470595359802,0.012580743990838528,0.02695249393582344
Bus_68,0.044240377843379974,0.030789649114012718,0.1264922022819519,1.862645149230957e-09
Bus_69,0.23737426102161407,0.38186052441596985,0.08136475831270218,0.17323821783065796
Bus_70,0.11201933771371841,0.47528138756752014,0.12481944262981415,0.14832428097724915
Bus_71,0.07327895611524582,0.07374121993780136,0.1264922022819519,1.862645149230957e-09
Bus_72,0.0845489576458931,0.20194971561431885,0.07305747270584106,0.1358150988817215
Bus_73,0.0555775947868824,0.049389373511075974,0.1264922022819519,1.862645149230957e-09
Bus_74,0.1818377524614334,0.9184974431991577,0.12015479803085327,0.27043408155441284
