,GNN,Neural Network,Linear Regression,Rolling Mean
0,0.092385516,0.55584335,0.3968718,0.12058234
1,0.057745695,0.11749284,0.34517896,0.14503728
2,0.007630497,4.5573463,0.045324385,0.023804503
3,0.102820694,4.190082,0.029967569,0.072545215
4,0.067209326,0.028670745,0.31631446,2.9802322e-08
5,0.089515895,3.0714915,0.03637849,0.2921783
6,0.10422956,0.0034417287,0.05874297,0.012899935
7,0.056096315,0.4912235,0.032428067,0.27495062
8,0.0586105,0.43149543,0.012058247,0.36636937
9,0.050143532,0.05740612,0.40009618,0.0039977655
10,0.034258693,0.10637375,0.030401992,0.13364267
11,0.28435802,0.3956254,0.013883751,0.060804017
12,0.11112339,0.24515685,0.01776521,0.013313399
13,0.058811035,0.6041793,0.041607887,2.9802322e-08
14,0.02180247,0.55319816,0.111546546,0.056700945
15,0.0183299,0.14781767,0.16395435,1.3865141
16,0.15700948,0.75656414,0.013663381,0.06324583
17,0.05358249,0.31147516,0.3810029,0.011832863
18,0.047960527,0.1984452,0.29875302,0.62523246
19,0.040369958,0.20919463,0.025193773,0.056830764
20,0.012334526,0.37543565,0.13562378,0.027228307
21,0.15916789,0.20191284,0.02663918,0.07247626
22,0.021208405,0.30203143,0.07461321,0.004156433
23,0.017816808,1.2470214,0.04428128,0.0032973364
24,0.2680123,0.2506079,0.07618901,0.05835922
25,0.05793519,0.07169755,0.16136622,2.9802322e-08
26,0.1097123,0.32025126,0.031878263,2.9802322e-08
27,0.06269435,0.033795476,0.005927657,0.032503806
28,0.053433,0.5893331,0.3362853,0.016990013
29,0.009514257,0.1673725,0.022103542,0.40973854
30,0.032379724,0.44595897,0.29875302,0.06414235
31,0.008378306,0.115737826,0.92890143,0.012837326
32,0.18083423,0.080540776,0.09436664,0.04690215
33,0.03266679,0.59345555,0.087076604,0.080904126
34,0.065048695,0.6608093,0.023134645,0.02346421
35,0.050195754,1.5533346,0.29875302,2.9802322e-08
36,0.20948482,1.084166,0.10238839,2.9802322e-08
37,0.030351672,0.024471134,0.11733806,0.003187865
38,0.22685122,0.026392296,0.0075544864,0.0056321323
39,0.25484562,0.3998529,0.044314053,0.20510161
40,0.011910617,0.58461785,0.05835402,0.078602254
41,0.07118231,0.908997,0.03710419,0.021448754
42,0.009054026,0.8163059,0.17463392,0.010442853
43,0.049719095,0.2533217,0.0058003366,0.0030782819
44,0.23435992,4.5867105,0.008901745,0.36781967
45,0.09909032,0.4764917,0.014509514,0.006710816
46,1.4788716,0.5518976,0.37280157,0.12100986
47,0.11653322,0.24894087,0.07678813,0.23663604
48,0.01700759,1.0498954,0.3753618,0.065636754
49,0.09071657,0.19942817,0.044241667,0.043099195
50,0.1304963,0.039409295,0.05479233,0.027721465
51,0.30872196,0.006042959,0.037566528,2.9802322e-08
52,0.10878128,0.35916752,0.02833426,0.025525808
53,0.007980496,0.02492822,0.29875302,2.9802322e-08
54,0.05575184,2.5224802,0.055561695,0.036699295
55,0.38621664,0.0667471,0.255499,0.063865066
56,0.22610092,0.34773666,0.043491386,0.0015243888
57,0.04092063,0.29575172,0.036241442,0.5857674
58,0.011627983,2.0579321,0.14811721,2.9802322e-08
59,0.12727527,0.16452041,0.028498687,0.012936078
60,0.11047304,0.12693593,0.0058481395,0.14847434
61,0.12335318,0.4097576,0.036578074,0.18234411
62,0.030709028,0.81796384,0.1546644,0.034393102
63,0.050345104,0.35604262,0.06678331,0.14003775
64,0.1040428,0.6233839,0.02806899,0.1864168
65,0.06162926,0.6380134,0.29875302,0.11280823
66,0.37780273,0.17828652,0.030313522,0.014204539
67,0.286787,0.04612983,0.23186374,0.22008505
68,0.25522852,0.22683245,0.024310876,0.0030750707
69,0.39304924,0.4729037,0.29875302,0.20073791
70,0.28494123,0.0758707,0.026190668,1.1483651
71,0.12498376,0.04709345,0.29875302,0.4494275
72,0.075576216,0.011194017,0.02787594,0.13016295
73,0.21937722,0.16531317,0.3354838,0.0024066754
