,GNN,Neural Network,Linear Regression,Rolling Mean
Bus_1,0.1610041707754135,0.36785295605659485,0.03755243122577667,0.06484581530094147
Bus_2,0.09548097103834152,0.24989737570285797,0.04577746242284775,0.07151011377573013
Bus_3,0.10719121247529984,0.4516228437423706,0.05575032904744148,0.0795222669839859
Bus_4,0.19089558720588684,0.8945566415786743,0.20968136191368103,0.21078114211559296
Bus_5,0.0751672238111496,0.36277976632118225,0.2987529933452606,2.9802322387695312e-08
Bus_6,0.12225748598575592,0.27052491903305054,0.07509046047925949,0.09908201545476913
Bus_7,0.11546153575181961,0.04765330255031586,0.027231063693761826,0.015874501317739487
Bus_8,0.388223797082901,0.6177221536636353,0.3193475902080536,0.50652676820755
Bus_9,0.051206838339567184,0.10809759795665741,0.2987529933452606,2.9802322387695312e-08
Bus_10,0.3366747498512268,3.624171495437622,0.9240032434463501,0.3895713686943054
Bus_11,0.15482686460018158,1.2747585773468018,0.1860436350107193,0.18285627663135529
Bus_12,0.5181042551994324,4.310110092163086,0.7539583444595337,0.924933910369873
Bus_13,0.1518184393644333,0.8143256902694702,0.11574079841375351,0.12722061574459076
Bus_14,0.12587378919124603,0.06706295162439346,0.036841388791799545,0.007937252521514893
Bus_15,0.2921094596385956,0.19669345021247864,0.06637825071811676,0.18773488700389862
Bus_16,0.09149141609668732,0.5427678227424622,0.05575033277273178,0.0795222595334053
Bus_17,0.11304018646478653,0.048736896365880966,0.018738601356744766,0.023232411593198776
Bus_18,0.38514524698257446,0.9860118627548218,0.2799360752105713,0.6636820435523987
Bus_19,0.24583426117897034,0.7714828848838806,0.09479506313800812,0.10934940725564957
Bus_20,0.15311452746391296,0.06932990252971649,0.01810438558459282,0.023811746388673782
Bus_21,0.10355069488286972,0.2687588632106781,0.035992566496133804,0.06357288360595703
Bus_22,0.08406390249729156,0.11586394906044006,0.010348798707127571,0.03976113721728325
Bus_23,0.08541324734687805,0.06854498386383057,0.018104378134012222,0.02381175011396408
Bus_24,0.16055704653263092,0.43805769085884094,0.11289844661951065,0.21272249519824982
Bus_25,0.3144446909427643,1.627817153930664,0.4606272280216217,0.39209118485450745
Bus_26,0.6261067390441895,1.8549526929855347,0.46839654445648193,1.0809370279312134
Bus_27,0.27888739109039307,0.6279149055480957,0.12619341909885406,0.10217379778623581
