,GNN,Neural Network,Linear Regression,Rolling Mean
0,0.11874601,0.7014641,0.11972168,0.015157044
1,0.031003594,0.7713485,0.041418515,0.19877559
2,0.103711545,1.6105002,0.073384285,0.048261926
3,0.22811103,2.6818528,0.08075112,0.03575152
4,0.017720856,2.55611,0.035661206,0.098058045
5,0.057342976,0.88939834,0.017767027,0.046552986
6,0.06722082,0.59076524,0.023163319,0.7261274
7,0.07926583,0.52421224,0.009437174,0.35465083
8,0.010202974,0.68779165,0.3071833,0.014291525
9,0.041272283,0.3257705,0.39685988,0.015872478
10,0.0058683157,0.66772664,0.11228645,0.07796019
11,0.24943134,0.81686974,0.061737746,0.11095679
12,0.081331134,0.7430817,0.029736102,0.1851418
13,0.025048494,0.5936736,0.20482767,0.047396958
14,0.00096696615,0.6813982,0.005013615,0.25837484
15,0.19713493,0.3437646,0.0160374,0.013120055
16,0.041451573,0.39991814,0.0007713847,0.0079268515
17,0.051920265,0.75324154,0.0024989694,0.06523916
18,0.06986287,0.17717695,0.09355116,0.03215301
19,0.1734628,0.33512646,0.06955783,0.01830107
20,0.36484325,0.78919685,0.102193475,0.12899083
21,1.0970907,1.4140204,0.08455652,0.07366397
22,0.10305199,0.16863303,0.09975457,0.06141275
23,0.045800686,0.19714274,0.084486365,0.069553345
24,0.09099436,0.88126796,0.102379024,1.4087586
25,0.8640532,0.037326362,0.0067248046,0.015881956
26,0.051153332,0.70827585,0.02498722,0.03316915
27,0.012756765,0.31498915,0.16463006,0.23568103
28,0.0820618,0.7318173,0.046175413,0.12396932
29,0.055877224,0.555665,0.23364165,0.0067296624
30,0.042818516,0.5950835,0.046459228,0.27898145
31,0.0238595,0.22162044,0.077691734,0.23308596
32,0.030491829,0.48797026,0.23666298,0.01578623
33,0.06243898,0.29191408,0.0045673847,0.1176112
34,0.014913421,0.44736904,0.06974763,0.039233923
35,0.058380783,1.396037,0.07758781,0.13053101
36,0.06763327,0.24393307,0.0093553215,0.08161166
37,0.00227952,1.1585617,0.0772022,1.0488393
38,0.033133715,1.9576662,0.09768915,0.14247045
39,0.007935951,1.4223331,0.07994637,0.031284273
40,0.33079654,0.20758016,0.012198195,0.26777256
41,0.22448489,0.70481586,0.039845794,0.112811804
42,0.27636337,0.47235212,0.18373662,0.04214132
43,0.08947617,0.78135496,0.052354097,0.7126138
44,0.3555258,0.51203066,0.024270713,0.022091307
45,0.27127934,0.15792188,0.44860184,0.07597837
46,0.013419494,0.56118053,0.06622404,0.20774354
47,0.7256037,0.6515712,0.16644186,0.85671353
48,0.017250508,0.6511932,0.027777746,0.47165358
49,0.011828005,0.14858282,0.33769548,0.36819077
50,0.24379596,0.043512642,0.10474329,0.022890568
51,0.49124646,0.5084622,0.23683235,0.13956955
52,0.07710126,0.32040706,0.083633676,0.002637118
53,0.028341219,0.39703533,0.108956754,0.00011321902
54,0.036069274,0.7947166,0.07236302,0.9746063
55,0.044214785,0.34930074,0.5445285,0.019404888
56,0.10060954,0.5466966,0.84461236,0.14156094
57,0.044090778,0.20817977,0.0005275905,0.0385468
58,0.41445026,0.7467381,0.12833059,0.21463789
59,0.03048861,1.3135452,0.08512145,0.042877734
60,0.08987939,0.027885918,0.04630667,0.2834312
61,0.08331567,0.80600244,0.02856189,0.03771466
62,0.13496554,0.49997061,0.019400634,0.5227139
63,0.0025647543,0.6800256,0.05081512,0.38597897
64,0.096530825,0.51672447,0.15231514,0.013954878
65,0.15686417,0.27818152,0.1071856,0.07256931
66,0.124012776,0.6498711,0.055639207,0.09128168
67,0.0007865429,0.47789136,0.46262133,0.014278382
68,0.0069924593,0.51114565,0.107791364,0.048454285
69,0.1079425,0.7986405,0.08428335,0.06368226
70,0.16610122,0.6708812,0.020266443,0.0049822927
71,0.16861194,0.6474039,0.052273214,0.031688392
72,0.118558794,0.88249356,0.038641006,0.053622633
73,0.06341972,0.17395338,0.001534462,0.04442855
74,1.0088514,0.025568077,0.022498041,0.04344272
75,0.07641037,0.52649134,0.013198853,0.4345315
76,0.027500033,0.5408644,0.104380965,0.056364074
77,0.026518986,0.14261459,0.029247284,1.0192779
78,0.052075922,0.64511144,0.5478301,0.035788238
79,0.11584078,0.11498222,0.47434998,0.005809784
80,0.008321404,2.9631333,0.062530786,0.11265593
81,0.058335878,0.47296208,0.2587425,1.3712795
82,0.026762068,0.6759943,0.14525223,0.31549075
83,0.025211006,0.26561967,0.07333645,0.014841497
84,0.32647523,4.1442466,0.06299245,0.0012657046
85,0.18781257,0.42297536,0.092723906,0.038042665
86,0.017698526,3.1500838,0.09686607,0.19557607
87,0.09191346,0.89914644,0.0048286915,1.1002527
88,0.012769207,0.26908666,0.6533008,0.01636374
89,0.031165004,0.8749473,0.17097163,0.004875183
90,0.15869543,0.21909043,0.08352947,0.0006813407
91,0.054566383,0.8411688,0.05895871,0.07958183
92,0.30076373,0.5865562,0.2530054,0.010532916
93,0.05243373,0.52487344,0.05659485,0.9063389
94,0.32377404,0.51347643,0.00835976,0.54165876
95,0.07733819,0.8688969,0.057725266,1.6245786
96,0.060133696,0.16181591,0.10554296,0.36633176
97,0.013306171,0.27931237,0.25857067,0.012995064
98,0.06424445,1.2328316,0.046900153,0.07857525
99,0.088576436,0.852018,0.058892697,0.011405572
100,0.11169425,0.25673565,0.1896742,0.028373301
101,0.03622675,0.8235218,0.06949136,0.25018916
102,0.005060911,0.020547897,0.07445267,0.02583164
103,0.04606539,0.018141344,0.121213794,0.08836877
104,0.11255503,0.6402313,0.047025234,0.02319789
105,0.06473625,0.08003381,0.039745063,0.12926146
106,0.1798214,3.2643874,0.0418857,0.351167
107,0.24922675,0.44045988,0.046569824,0.46915808
108,0.2735577,0.6325875,0.11439821,0.5918295
109,0.12250143,0.6041266,0.02934742,0.13316709
110,0.025454402,0.088562585,0.1136474,0.009631932
111,0.09103963,0.093597844,0.14204359,0.0028727055
