,GNN,Neural Network,Linear Regression,Rolling Mean
Bus_1,0.32206255197525024,1.425953984260559,0.3150695860385895,0.5649862289428711
Bus_2,0.32226690649986267,0.6904914379119873,0.2309284657239914,0.5433145761489868
Bus_3,0.25007644295692444,1.2687842845916748,0.2647694945335388,0.5168826580047607
Bus_4,0.14655917882919312,0.3702285885810852,0.12554766237735748,0.35291504859924316
Bus_5,0.1505056768655777,0.4328307807445526,0.11938084661960602,0.33619925379753113
Bus_6,0.17091093957424164,0.4722440838813782,0.16482698917388916,0.45389819145202637
Bus_7,0.25254306197166443,0.5052109360694885,0.17757482826709747,0.4846455454826355
Bus_8,0.09410461038351059,0.5758925080299377,0.09975171089172363,0.1498810201883316
Bus_9,0.11609088629484177,1.3109714984893799,0.17492876946926117,0.1382715404033661
Bus_10,0.3098861575126648,1.8729958534240723,0.3042646050453186,0.3506619930267334
Bus_11,0.23613375425338745,0.5292629599571228,0.17873826622962952,0.4711654782295227
Bus_12,0.28664714097976685,0.6398471593856812,0.1948012262582779,0.5336726903915405
Bus_13,0.2580990791320801,0.9598817229270935,0.24236492812633514,0.48310214281082153
Bus_14,0.2974644899368286,0.6427660584449768,0.19449466466903687,0.49378177523612976
Bus_15,0.32220718264579773,0.9682327508926392,0.2371145784854889,0.4860370457172394
Bus_16,0.23366837203502655,0.6396898627281189,0.17970474064350128,0.45952877402305603
Bus_17,0.2725924551486969,0.594823956489563,0.1195400059223175,0.3468658924102783
Bus_18,0.3101262152194977,0.7749571204185486,0.1894948035478592,0.552207887172699
Bus_19,0.42422813177108765,1.104532241821289,0.24164119362831116,0.5438794493675232
Bus_20,0.4003930687904358,1.6312974691390991,0.3439968228340149,0.5515355467796326
Bus_21,0.3939732611179352,1.7448132038116455,0.34146440029144287,0.5219742059707642
Bus_22,0.35495153069496155,1.3199816942214966,0.26794227957725525,0.45362064242362976
Bus_23,0.2556939721107483,0.37076491117477417,0.10319693386554718,0.34102684259414673
Bus_24,0.1579972505569458,0.35526856780052185,0.09077674895524979,0.2788090705871582
Bus_25,0.13055910170078278,0.8395297527313232,0.08582186698913574,0.06476879864931107
Bus_26,0.1453259289264679,1.6135786771774292,0.2635924518108368,0.27005764842033386
Bus_27,0.44602054357528687,2.3625993728637695,0.4317737817764282,0.8169108629226685
Bus_28,0.4943216145038605,2.484466552734375,0.48808974027633667,0.8520321249961853
Bus_29,0.48651430010795593,2.7702245712280273,0.4683186113834381,0.863301694393158
Bus_30,0.11946410685777664,0.595514178276062,0.061072688549757004,0.15597207844257355
Bus_31,0.48796024918556213,2.2055604457855225,0.42276227474212646,0.849083662033081
Bus_32,0.528129518032074,1.992870569229126,0.4014078378677368,1.0008498430252075
Bus_33,0.3526897132396698,0.7315554618835449,0.16015483438968658,0.3763595223426819
Bus_34,0.21219590306282043,0.31235644221305847,0.07677454501390457,0.26022619009017944
Bus_35,0.16812357306480408,0.28920650482177734,0.07869254797697067,0.26860788464546204
Bus_36,0.19011960923671722,0.3155840039253235,0.07937309145927429,0.2705535590648651
Bus_37,0.1658419370651245,0.26264864206314087,0.07222608476877213,0.2460060864686966
Bus_38,0.13157841563224792,0.47417891025543213,0.05379150062799454,0.1591557264328003
Bus_39,0.16422022879123688,0.2584521770477295,0.07190807163715363,0.24034427106380463
Bus_40,0.13304097950458527,0.281692236661911,0.06626203656196594,0.2256261557340622
Bus_41,0.17211633920669556,0.25616759061813354,0.06422851234674454,0.21596437692642212
Bus_42,0.09729976207017899,0.4829312562942505,0.05285782739520073,0.1441584825515747
Bus_43,0.19427448511123657,0.26373618841171265,0.07210297882556915,0.22036656737327576
Bus_44,0.11578474193811417,0.13646607100963593,0.03949398174881935,0.12508320808410645
Bus_45,0.08726634830236435,0.34611499309539795,0.027780944481492043,0.07678206264972687
Bus_46,0.029201941564679146,0.5961043238639832,0.03314584866166115,0.028301583603024483
Bus_47,0.040785182267427444,0.5116801857948303,0.03351907432079315,0.019963929429650307
Bus_48,0.05566239729523659,0.7566153407096863,0.041031815111637115,0.0242734644562006
Bus_49,0.05237063020467758,0.6868832111358643,0.0757947564125061,0.027858823537826538
Bus_50,0.043831661343574524,0.6876820921897888,0.07219978421926498,0.02263161540031433
Bus_51,0.038150854408741,0.5044217109680176,0.06829938292503357,0.025556644424796104
Bus_52,0.03052276000380516,0.483320951461792,0.05936407297849655,0.031793076545000076
Bus_53,0.03935638815164566,0.6636502742767334,0.07545513659715652,0.0299741942435503
Bus_54,0.035892195999622345,0.7237998843193054,0.11595352739095688,0.03416772186756134
Bus_55,0.0414804071187973,0.736176073551178,0.09732457250356674,0.03285165876150131
Bus_56,0.038740627467632294,0.8850583434104919,0.10161248594522476,0.032177384942770004
Bus_57,0.053923822939395905,0.8267636299133301,0.08275891095399857,0.023408755660057068
Bus_58,0.058409273624420166,0.6939854621887207,0.07968521863222122,0.02246534451842308
Bus_59,0.05123468115925789,0.8481572270393372,0.0961737260222435,0.037822116166353226
Bus_60,0.07080758363008499,0.6972420811653137,0.08827193826436996,0.03402386233210564
Bus_61,0.08144873380661011,0.9328746199607849,0.098440021276474,0.043036408722400665
Bus_62,0.06931760162115097,0.8394371271133423,0.09452453255653381,0.04091769829392433
Bus_63,0.033549267798662186,0.9894015192985535,0.10792121291160583,0.05000268295407295
Bus_64,0.03539862856268883,0.9453306794166565,0.10724450647830963,0.05716314911842346
Bus_65,0.13387173414230347,1.052757978439331,0.1047823429107666,0.08569604903459549
Bus_66,0.05645928904414177,0.8628469109535217,0.10392799973487854,0.04016277939081192
Bus_67,0.052155863493680954,0.7484341263771057,0.08380077034235,0.025955280289053917
Bus_68,0.037488486617803574,0.7656294107437134,0.07360221445560455,0.0404997318983078
Bus_69,0.03613871708512306,0.5907975435256958,0.5633938312530518,1.1920928955078125e-07
Bus_70,0.09843490272760391,0.46634572744369507,0.07806608080863953,0.19285862147808075
Bus_71,0.08513687551021576,0.45138609409332275,0.0742243081331253,0.15964218974113464
Bus_72,0.05951244384050369,0.6460450887680054,0.05130456015467644,0.051603443920612335
Bus_73,0.07453811168670654,0.36577290296554565,0.07415711134672165,0.15964218974113464
Bus_74,0.14771920442581177,0.3249853551387787,0.10414174944162369,0.28414613008499146
Bus_75,0.12410945445299149,0.27095502614974976,0.059530243277549744,0.18463902175426483
Bus_76,0.07095053046941757,0.8051276206970215,0.06687768548727036,0.023219702765345573
Bus_77,0.06023108586668968,0.5555669665336609,0.06130817532539368,0.029792189598083496
Bus_78,0.06471148133277893,0.5337089896202087,0.0554494634270668,0.045537158846855164
Bus_79,0.07780539244413376,0.5840664505958557,0.04966949671506882,0.05939674377441406
Bus_80,0.06790845841169357,0.47093531489372253,0.05139830708503723,0.07277935743331909
Bus_81,0.02735367976129055,0.6203889846801758,0.03853458911180496,0.015845006331801414
Bus_82,0.19680608808994293,0.7907789349555969,0.12885995209217072,0.36048734188079834
Bus_83,0.2285040020942688,0.6845148205757141,0.13866767287254333,0.3553575873374939
Bus_84,0.151655912399292,0.619709312915802,0.12493313103914261,0.30841386318206787
Bus_85,0.15794186294078827,0.33250921964645386,0.0942329689860344,0.2587384283542633
Bus_86,0.10448797792196274,0.3594469428062439,0.08287985622882843,0.21892598271369934
Bus_87,0.10106562823057175,1.1161702871322632,0.20051178336143494,0.06360561400651932
Bus_88,0.1027621328830719,0.43326523900032043,0.0912465825676918,0.20762142539024353
Bus_89,0.04980771616101265,0.6045188307762146,0.08359083533287048,0.006970575544983149
