,GNN,Neural Network,Linear Regression,Rolling Mean
0,0.03738767,1.0688233,0.24787498,0.051498175
1,0.23084867,2.324772,0.17427686,0.0013597608
2,0.053356826,0.2482063,0.01077497,0.15600872
3,0.03115451,0.5082772,0.028781235,0.0014486313
4,0.036978662,0.90531415,0.14279014,0.13187963
5,0.39174908,0.8327328,0.17427766,0.3716004
6,0.033829153,0.92443496,0.052576184,0.37452012
7,0.044021904,0.6582903,0.15043956,0.005142987
8,0.035561696,0.76381856,0.05381763,0.031180352
9,0.13169721,0.82709736,0.14899522,0.24312703
10,0.35252786,0.9040489,0.026906155,0.25787592
11,0.7928022,0.64135313,0.09033969,5.042553e-05
12,0.38197964,0.61064786,0.33637184,0.0127360225
13,0.26767987,0.24413182,0.53606516,0.006404847
14,0.051523745,1.4988794,0.12647796,0.019919276
15,0.031086385,0.3248969,0.1469214,0.1858154
16,0.08926156,0.6879767,0.077325106,0.42876112
17,0.2595502,0.6620724,0.07163012,0.02265346
18,0.109617606,0.7327117,0.09385833,0.37571236
19,0.00068071485,0.43329167,0.052301437,0.19223589
20,0.07044518,0.86621284,0.14051294,0.049401283
21,0.030064523,0.5218699,0.046017185,0.30705094
22,0.20964974,2.1185143,0.21029538,0.08886725
23,0.06386685,0.47503626,0.591261,0.2665041
24,0.07231298,0.9349481,0.05428034,0.09447396
25,0.032410145,0.47354513,0.16722429,0.18968654
26,0.14927655,0.61792076,0.096935034,0.018414646
27,0.24998885,0.5981107,0.19724095,0.030839741
28,0.101349354,1.1864073,0.012474,0.19296166
29,0.42242405,0.5041426,0.05338192,0.1260519
30,0.117459774,0.9097329,0.09350555,0.06185917
31,0.118436545,0.8783883,0.1080901,0.047351867
32,0.03342989,0.68059397,0.1190446,0.025205016
33,0.043210566,0.6312036,0.030519605,0.12129825
34,0.45770705,1.3644344,0.10564387,2.7120113e-05
35,0.11883271,0.25479084,0.26399893,0.01730287
36,0.20504266,0.21201144,0.53995407,0.13499802
37,0.056860805,1.614737,0.07562673,0.03050661
38,0.12676424,0.06643998,0.14177877,0.038219452
39,0.0738402,0.6706914,0.20822793,0.46107346
40,0.022121131,0.6405457,0.03342867,0.09692046
41,0.12115151,0.8800689,0.10359961,0.54491943
42,0.118149504,0.70794475,0.33488286,4.529953e-06
43,0.1296507,0.56439453,0.082491815,0.18888402
44,0.28499126,1.0088066,0.051751137,0.060847104
45,0.16085024,0.65794146,0.17752056,0.14241695
46,0.010020673,1.1247766,0.24554384,0.14170194
47,0.14477658,0.53047657,0.29360807,0.025062919
48,0.07497594,0.0846615,0.059301063,0.20483738
49,0.095811486,1.6049017,0.07029045,0.0019237399
50,0.32750607,0.1452877,0.59148,0.008008063
51,0.034618974,0.4339561,0.08944106,0.017071575
52,0.24298733,0.7585943,0.048379958,0.08147013
53,0.016677797,0.95931315,0.16928536,0.6961365
54,0.09364718,0.95359737,0.092075825,0.056607217
55,0.041306317,0.13153715,0.09032674,0.0498721
56,0.014631242,0.0066612437,0.009550929,0.07765347
57,0.07369611,0.29235262,0.047544003,0.42569003
58,0.008863747,0.5000534,0.23413083,0.14532799
59,0.0018712282,0.03589184,0.013944507,0.026950132
60,0.018461913,0.9905921,0.046901494,0.07371485
61,0.11784999,0.059871167,0.34555626,0.7791273
62,0.36089516,0.28067943,0.23502952,0.042609066
63,0.020715296,0.77724016,0.21914726,0.5268276
64,0.037338972,0.83525264,0.029460698,0.40449727
65,0.12387377,0.6329768,0.4375162,0.14809418
66,0.24069993,0.36564368,0.19705123,0.047595307
67,0.08637178,0.8496138,0.57068646,0.1717
68,0.100250244,0.4997488,0.18652236,0.034628212
69,0.1419622,0.41801527,0.16165823,0.40702334
70,0.034902632,0.034191843,0.17373922,0.2266743
71,0.07678938,0.6884283,0.15318596,0.00024861097
72,0.2672603,0.66592973,0.08857238,0.6157878
73,0.010996997,0.35165775,0.29038727,0.020491183
74,0.096558034,0.7458591,0.8444387,0.008620024
75,0.26255453,0.29064107,0.53604054,0.0072678905
76,0.7665553,0.42871875,0.14485016,0.13508946
77,0.17985302,2.1784687,0.036304712,0.6909543
78,0.13288003,0.85328925,0.5360554,0.02359116
79,0.022928834,0.70000434,0.035014004,0.00013136864
80,0.078454085,0.48930427,0.031999916,0.007726431
81,0.32114136,0.857557,0.06299186,0.6913762
82,0.376189,0.693536,0.1985771,0.010146797
83,0.07843673,1.0326926,0.116931915,0.032873094
84,0.14015883,0.31726325,0.050248027,0.00035607815
85,0.11107963,0.40982965,0.26976013,0.0015901625
86,0.039866865,0.58146626,0.73118985,0.03924012
87,0.03847239,0.69386303,0.049896866,0.3040179
88,0.065906525,0.8334794,0.07822481,0.5596781
89,0.1345073,0.4191835,0.13558686,0.14271545
90,0.043714225,0.5928379,0.78664446,0.22118032
91,0.13313231,0.8680847,0.08709204,1.0407357
92,0.06753796,0.3580794,0.13792455,0.0042816997
93,0.18148237,1.0195695,0.44927412,0.028698266
94,0.054018497,0.99924564,0.5360431,0.015589632
95,0.0039037466,0.4333781,0.046541393,0.3617285
96,0.08101845,0.61362505,0.124118924,0.058457255
97,0.04768622,0.666415,0.22649258,0.004764259
98,0.004072547,0.030942671,0.10692978,0.03948024
99,0.13739783,0.27950448,0.10932797,0.039111316
100,0.3673241,0.018236835,0.7866573,0.26286128
101,0.06852171,0.7735164,0.32316184,0.053028524
102,0.034959782,0.7930064,0.47391528,0.19565439
103,0.042800516,0.59009004,0.25761402,0.17189291
104,0.14060402,0.9009426,0.32922208,0.048995852
105,0.024396598,0.7591026,0.28036183,9.4890594e-05
106,0.03223121,1.1626066,0.1062693,0.010893464
107,0.23337352,0.48440862,0.20184273,0.11657703
108,0.19289553,1.2811385,0.10308224,0.045696348
109,0.3523975,0.17209955,0.1493938,0.024522156
110,0.23596692,0.71590084,0.06703803,0.06381315
111,0.21810775,0.13317916,0.15582812,0.15482247
112,0.0019723773,0.6272845,0.3424626,0.23023409
113,0.17150798,1.0894933,0.56676424,0.10622981
114,0.10426736,3.1065025,0.19434243,3.5762787e-07
115,0.234133,0.54904604,0.19573867,0.33732605
116,0.09671587,0.5010083,0.08035207,0.17568114
117,0.0009700656,1.9557121,0.18380785,0.02572292
118,0.0012494922,0.42893076,0.046312906,0.07730836
119,0.18635786,2.1704473,0.1415519,0.063467205
120,0.05032909,1.0641242,0.16662836,0.11146927
121,0.111805856,0.4227143,0.44603205,0.14562118
122,0.11010249,0.01326685,0.12091529,0.024475873
123,0.3871665,0.81732005,0.138215,0.0005347729
124,0.24435672,0.49691546,0.08069658,0.18152997
125,0.053296685,0.46634,0.32235265,0.21429658
126,0.100426316,0.6240636,0.1302054,1.0845275
127,0.053581655,0.101728745,0.072454624,0.01537545
128,0.036791563,0.268443,0.094576925,0.4239781
129,0.06136942,0.49689707,0.11378288,0.43880102
130,0.3315254,0.67085433,0.3822112,0.10698558
131,0.12622374,0.72746444,0.08900607,0.4932481
132,0.008436561,0.739895,0.0829283,0.0015981197
133,0.08463776,0.9125298,0.043908775,0.12727463
134,0.022803351,0.39055732,0.3823601,0.21828103
135,0.3006413,1.0162586,0.2457841,0.15417993
136,0.6938747,0.31791985,0.43038577,0.49046448
137,0.11762226,0.19335276,0.03602186,1.9073486e-06
138,0.07894027,0.13706541,0.17808837,0.3468653
139,0.02999866,0.50703686,0.31477785,0.4242316
140,0.11217436,0.8297818,0.10490739,0.007289946
141,0.128999,1.0389811,0.16337276,0.20330861
142,0.07505733,0.543288,0.45933348,0.5159416
143,0.04664886,0.28271705,0.093452156,0.06390637
144,0.033922195,0.3180954,0.07264191,0.056056082
145,0.12426609,0.38536716,0.11741483,0.011703253
146,0.05081141,1.0322696,0.062376082,0.9471124
147,0.06333792,0.16660509,0.14583755,0.1986106
148,0.003859818,1.0617282,0.37201023,0.14428303
149,0.1806562,0.44626838,0.03600645,0.000985384
150,0.012358516,0.9492621,0.08787876,0.46846467
151,0.23842561,0.29623368,0.49040627,0.45228016
152,0.33973336,0.6946448,0.53911734,0.013710678
153,0.15508676,0.6765678,0.48150945,0.054695845
154,0.19488533,0.6140116,0.005879581,0.11651915
155,0.13548982,0.9067763,0.31341344,0.31472564
156,0.1557304,0.04399578,0.107678264,3.9219856e-05
157,0.010218106,0.7409612,0.07904616,1.3404876
158,0.06705731,2.199985,0.24209422,0.03315735
159,0.070491195,0.9188925,0.14282554,0.0014525708
160,0.15615904,0.18763728,0.103238545,0.017276734
161,0.0031811,0.47098485,0.61555916,0.13571608
162,0.17971283,0.48516414,0.09349719,0.5427064
163,0.025872052,0.2964416,0.5253155,0.0021735728
164,0.25972554,0.5508816,0.33399367,0.0011330843
165,0.16891086,0.51388395,0.1672244,0.4713882
166,0.0030059218,0.055776484,0.014963571,0.056444526
167,0.06371987,0.7374978,0.016400758,2.3841858e-05
168,0.364658,0.015739601,0.5618365,0.00034207106
169,0.10949206,0.69890696,0.20084095,0.5602386
170,0.06474802,0.4485343,0.117431134,0.1790207
171,0.060918987,0.16164982,0.089322895,0.04825276
172,0.18401033,0.9766222,0.19547427,0.4260577
173,0.046033025,0.18884525,0.27309704,0.37245992
174,0.2386241,0.71723384,0.09274095,0.0013258159
175,0.14173865,0.32906514,0.07154983,0.27130252
176,0.02519703,0.036396265,0.12825583,1.7285347e-05
177,0.11599059,0.98809797,0.23876661,0.08658689
178,0.120646596,2.3406081,0.17417362,0.05336395
179,0.1239323,0.9205208,0.04995136,0.006738186
180,0.13707179,1.0392234,0.1716249,0.15296397
181,0.1191833,0.3293322,0.01933369,0.09616405
182,0.030678302,0.7887129,0.11771688,0.17797732
183,0.03517723,1.0301872,0.06882018,0.25505388
184,0.082071215,0.541425,0.029464453,0.0820241
185,0.026046216,0.6697829,0.22281504,0.7683022
186,0.011029959,0.47718412,0.040376425,0.00013822317
187,0.025128901,0.65295386,0.054433614,0.19517148
188,0.113861024,1.2385676,0.13968551,0.037316382
189,0.08693775,1.0759559,0.1327331,0.0075130463
190,0.025906742,2.5813203,0.12796447,0.3439102
191,0.34072673,0.8164802,0.044623733,0.020360291
192,0.3188041,1.2377284,0.16277814,0.40427035
193,0.055225015,0.6838467,0.48693842,0.0717929
194,0.016346693,0.69812334,0.33642626,0.3543234
195,0.06592393,0.16870457,0.010956056,0.32212132
196,0.26285645,0.29719257,0.31606382,0.05364549
197,0.008085728,0.7621461,0.02907005,0.00016713142
198,0.005518317,0.012975037,0.30808926,0.06476748
199,0.2427483,0.7050227,0.40615106,9.059906e-06
200,0.046295583,0.006445838,0.070857465,8.404255e-06
201,0.11514139,0.989027,0.019208983,0.10591328
202,0.66071385,1.0034986,0.09936312,0.1291371
203,0.065029085,0.99526197,0.14879876,0.20172763
204,0.01041317,0.7960445,0.22416997,0.32933158
205,0.20180678,1.0129706,0.1318757,0.03174013
206,0.059642255,0.8378055,0.168913,0.8422698
207,0.15277243,0.14053847,0.34229994,0.30105793
208,0.13065189,0.8909497,0.5711168,0.00073719025
209,0.03292471,0.7946564,0.030104697,0.009683609
210,0.12139952,0.33946723,0.17461455,0.018303037
211,0.036057174,1.0301361,0.010744117,0.24066897
212,0.16387713,0.21472028,0.111916065,0.010231316
213,0.0022253394,2.2262921,0.093670666,0.018110216
214,0.29131782,0.5401427,0.16737562,0.001661241
215,0.0062948465,0.2941248,0.0975101,0.21154922
216,0.2720039,1.3938426,0.030226618,0.0004592538
217,0.19931585,0.81831825,0.11362624,0.01710546
218,0.08207673,0.9010465,0.053783953,0.08531046
219,0.05321355,0.5010139,0.17087682,0.00015819073
220,0.05728966,0.75670016,0.4180137,0.02524674
221,0.23853207,0.527884,0.7311306,0.18049404
222,0.096933246,0.14244744,0.14206284,0.0517084
223,0.109933525,1.0187309,0.17834592,0.07587251
224,0.02104202,0.12853849,0.08818993,0.009378016
225,0.028280511,0.42643505,0.03998646,0.190449
226,0.09033327,1.064626,0.119781554,7.927418e-06
227,0.094362974,1.0071056,0.5360224,0.2492528
228,0.2497086,0.5197819,0.015209243,0.10244143
229,0.3212173,0.7866676,0.05400276,0.5245689
230,0.031553864,2.7589266,0.33955383,0.0005251765
231,0.012987673,0.23824874,0.78660595,0.02867806
232,0.03148675,1.1929235,0.1609568,0.02161628
233,0.058451712,0.8282582,0.13674903,0.10318801
234,0.17071134,1.740461,0.5914909,5.7458878e-05
235,0.07085258,0.009063279,0.12409592,0.03282684
236,0.19935548,0.14441551,0.118322864,0.05968064
237,0.034827292,0.3501345,0.18066871,0.031637967
238,0.029915124,0.29378974,0.28778327,0.52101535
239,0.029180288,0.33912626,0.083082855,0.032382607
240,0.17782259,0.5890617,0.07323439,5.0663948e-05
241,0.0046494007,0.6175492,0.12652045,2.0503998e-05
242,0.15327215,0.6753877,0.075246155,0.55448604
243,0.15958843,0.68549836,0.030046523,0.25647914
244,0.053201318,1.0037979,0.58336806,0.17544115
245,0.06453545,0.7735402,0.11857259,0.91172755
246,0.060540557,0.6947763,0.11566037,6.7949295e-06
247,0.045638084,0.5216443,0.22658446,0.16427457
248,0.084573746,0.5006242,0.091120034,0.029816747
249,0.025096357,0.43709472,0.16921388,0.024243712
250,0.17726056,0.13530746,0.07412828,0.19628954
251,0.018993437,0.25600603,0.16338432,0.44739878
252,0.37786543,0.17684503,0.08957398,0.749109
253,0.2688958,0.9492679,0.033380907,0.017786533
254,0.024066627,0.9935192,0.33315843,0.024653733
255,0.066624165,0.34285647,0.59161067,0.00022959709
256,0.020513833,0.29525632,0.01760906,0.031367302
257,0.015760481,0.18405493,0.061269864,0.086052895
258,0.009713709,0.7800605,0.08097531,9.536743e-06
259,0.1304476,0.98636,0.08637053,0.13104394
260,0.022538424,0.9775864,0.25341523,0.04477954
261,0.04497087,1.0399387,0.09841603,3.5107136e-05
262,0.012083624,0.7175946,0.036216408,0.115909755
263,0.021969378,0.54914415,0.14824474,0.058766335
264,0.05188921,1.9574074,0.6155609,0.22275695
265,0.027654171,0.14722817,0.13169938,0.10972595
266,0.017349005,1.0251493,0.17893055,0.23499167
267,0.09167048,0.7309549,0.14275819,0.07215682
268,0.08511561,1.7371131,0.13992499,0.9351794
269,0.13036644,0.45031095,0.060993582,0.08475047
270,0.70120144,0.53879464,0.14907956,0.09333664
271,0.0537408,0.84528273,0.21093576,0.008291006
272,0.030176342,0.3682994,0.44673467,0.07314485
273,0.31865454,0.1432186,0.25929534,0.03947474
274,0.1623531,0.5964272,0.056816876,0.19758773
275,0.010254741,2.2196891,0.025058568,0.06507838
276,0.14480513,0.95506185,0.53606844,0.33563933
277,0.0063866377,0.42817473,0.25491977,0.015628517
278,0.17056814,0.8406983,0.036098644,0.44287616
279,0.12833315,0.10565066,0.10073638,0.08154729
280,0.0041359067,0.21894246,0.73118544,0.035930872
281,0.09110826,0.4983058,0.32240164,0.002349645
282,0.06166148,0.19947508,0.097845554,0.022896409
283,0.037997723,0.8451042,0.085645854,0.03356898
284,0.16720827,2.1284204,0.08624588,0.124635756
285,0.073682964,0.17306434,0.48728338,0.02177602
286,0.023093224,0.2673708,0.03139097,0.12441313
287,0.034973145,0.737465,0.16795391,0.058870018
288,0.21046534,1.9626812,1.7923625,0.13809913
289,0.40620184,0.46776253,0.28466785,0.1557719
290,0.07975078,0.43875587,0.536059,5.6624413e-06
291,0.3472066,0.4894021,0.11544466,0.44177112
292,0.045998305,2.113311,0.02511096,0.18388778
293,0.06317735,1.0082561,0.78665733,0.028302848
294,0.29326016,0.27297384,0.093786776,0.07232636
295,0.071594656,0.018548936,0.033993363,0.12053791
296,0.04462286,0.0042031035,0.3135183,2.2411346e-05
297,0.2543301,0.81613195,0.2709785,0.518592
298,0.09394956,0.31765825,0.2350558,0.034261256
299,0.42898834,0.7864567,0.5128958,0.2855619
300,0.11071527,0.7097844,0.0716534,0.035437167
301,0.19005528,0.013452411,0.21511525,0.07287352
302,0.28310823,0.3539194,0.5914812,1.4781952e-05
303,0.009881437,0.29970825,0.13276252,0.00113976
304,0.062674284,0.8078081,0.24583685,0.030496716
305,0.08765507,0.9595126,0.016308814,0.042250276
306,0.028214825,0.13819927,0.11675155,0.035458148
307,0.11669773,0.70617,0.49606156,0.207486
308,0.04071617,0.09495899,0.1941747,0.005290866
309,0.07020417,1.6184044,0.12561995,0.44513482
310,0.09624314,0.37075788,0.6155541,0.057164878
311,0.06843957,0.81403685,0.044136196,1.31726265e-05
312,0.023225322,1.7389103,0.02540493,0.17628586
313,0.039826572,0.1342409,0.16457069,0.18045789
314,0.24597695,0.47274008,0.03693068,0.047882855
315,0.09713936,0.80820405,0.13109261,0.013633072
316,0.022076488,1.9924536,0.2089493,0.031231627
317,0.12542783,0.49627233,1.4166315,0.47594467
318,0.01823759,0.25637442,0.3280027,0.05712396
319,0.15953422,0.47619188,0.095917225,0.079686806
320,0.3114797,0.7091763,0.05155644,0.1648891
321,0.17947131,0.62271047,0.15420923,0.010473728
322,0.0020225234,0.25453228,0.7866573,0.026869714
323,0.12882638,1.1369821,0.039568428,0.02749461
324,0.026043832,0.08672361,0.25419688,0.015713751
325,0.22422978,0.08057059,0.096330434,0.12500834
326,0.12020558,0.26848337,0.072313845,0.16407749
327,0.26361397,0.79155886,0.2500143,0.012206167
328,0.00801295,0.4968298,0.15673268,0.052196503
329,0.08417398,0.8458542,0.13135052,0.012216035
330,0.18298471,1.5661591,0.01661072,0.11698347
331,0.16469581,1.2008342,0.7304598,0.37618795
332,0.009439886,0.06275451,0.23338932,0.13269436
333,0.13409817,0.18838955,0.0114802085,0.37379467
334,0.030306756,0.42462027,0.123271525,0.71860373
335,0.34992576,0.26440197,0.19202292,0.024777502
336,0.25363278,0.8018075,0.20216715,0.26104653
337,0.24031812,0.80604756,0.05687672,0.23716989
338,0.022759676,0.6843165,0.6155512,0.31143627
339,0.19270489,0.8869446,0.037070572,0.56540036
