,GNN,Neural Network,Linear Regression,Rolling Mean
Bus_1,0.3817965090274811,2.5160043239593506,0.4457881450653076,0.6208757162094116
Bus_2,0.29479721188545227,1.2228432893753052,0.2590717077255249,0.42252999544143677
Bus_3,0.3380845785140991,1.9206703901290894,0.35186365246772766,0.5362350344657898
Bus_4,0.17519430816173553,0.6523791551589966,0.15990714728832245,0.21309858560562134
Bus_5,0.1664021611213684,0.7097562551498413,0.1611429899930954,0.20671959221363068
Bus_6,0.19125019013881683,0.7243817448616028,0.15495052933692932,0.23267318308353424
Bus_7,0.2148582637310028,0.8158198595046997,0.15826311707496643,0.230372816324234
Bus_8,0.16268208622932434,0.5524337291717529,0.17628654837608337,0.13535171747207642
Bus_9,0.080952487885952,1.0082240104675293,0.7284553647041321,0.0499274842441082
Bus_10,0.25218260288238525,0.32761839032173157,0.11892859637737274,0.1874704211950302
Bus_11,0.2466484159231186,0.32952654361724854,0.1512332707643509,0.2858760356903076
Bus_12,0.19765017926692963,0.820537805557251,0.7861746549606323,0.2225860208272934
Bus_13,0.3287973999977112,2.06890869140625,0.367958664894104,0.5106011629104614
Bus_14,0.2143034189939499,0.45411384105682373,0.13473273813724518,0.2517377734184265
Bus_15,0.27537938952445984,0.5743215680122375,0.1491549164056778,0.36941859126091003
Bus_16,0.18713338673114777,0.30513110756874084,0.1375650018453598,0.2756592929363251
Bus_17,0.11324220895767212,0.7331373691558838,0.13718509674072266,0.15567561984062195
Bus_18,0.10570922493934631,0.7185680866241455,0.15228302776813507,0.15649370849132538
Bus_19,0.18581882119178772,0.39315107464790344,0.11664900928735733,0.3156692087650299
Bus_20,0.30071383714675903,1.9966778755187988,0.3610776364803314,0.5161337852478027
Bus_21,0.3428959548473358,2.5403308868408203,0.46060100197792053,0.5933196544647217
Bus_22,0.32307276129722595,2.129042625427246,0.3813428282737732,0.5117918848991394
Bus_23,0.15283387899398804,0.3945731818675995,0.05720273032784462,0.1856754720211029
Bus_24,0.08420532941818237,0.8460656404495239,0.4736500084400177,0.00032624686718918383
Bus_25,0.12656211853027344,0.9467068910598755,0.536048412322998,2.5576689949957654e-05
Bus_26,0.24512630701065063,0.6277385354042053,0.16708965599536896,0.3924916386604309
Bus_27,0.25436124205589294,1.0493204593658447,0.2632767856121063,0.47225937247276306
Bus_28,0.27102726697921753,1.8864867687225342,0.404533714056015,0.6020171046257019
Bus_29,0.2872620224952698,1.720452904701233,0.3662319779396057,0.6456516981124878
Bus_30,0.1091378778219223,0.1328590214252472,0.05743449553847313,0.12193655967712402
Bus_31,0.283700168132782,1.2738845348358154,0.28457194566726685,0.6139684915542603
Bus_32,0.20022284984588623,0.4840703308582306,0.12336047738790512,0.4571056663990021
Bus_33,0.16436107456684113,0.26605424284935,0.08598434180021286,0.2550663948059082
Bus_34,0.0508011057972908,0.5655182600021362,0.1699860543012619,0.014865408651530743
Bus_35,0.07348143309354782,0.529714047908783,0.08279508352279663,0.045840416103601456
Bus_36,0.1183629184961319,0.48100346326828003,0.07724092155694962,0.060895372182130814
Bus_37,0.13863366842269897,0.7767332196235657,0.7866384387016296,1.6987009075819515e-05
Bus_38,0.05887150764465332,0.6695119142532349,0.1375834196805954,0.04589270427823067
Bus_39,0.0711773931980133,0.4668092429637909,0.07926250249147415,0.0281803160905838
Bus_40,0.08774871379137039,0.488115519285202,0.08990821242332458,0.047793690115213394
Bus_41,0.06073717772960663,0.3158203363418579,0.045213036239147186,0.0386916883289814
Bus_42,0.10132858157157898,0.7096360325813293,0.07247225195169449,0.07346161454916
Bus_43,0.08272350579500198,0.2045239806175232,0.045081909745931625,0.13508731126785278
Bus_44,0.10677745938301086,0.430311918258667,0.08245527744293213,0.1770290732383728
Bus_45,0.10242155194282532,0.19234806299209595,0.06809339672327042,0.13707758486270905
Bus_46,0.07312839478254318,0.8434406518936157,0.08044115453958511,0.09547839313745499
Bus_47,0.0636771097779274,0.664534866809845,0.12181732803583145,0.07546745985746384
Bus_48,0.05214684084057808,0.46083468198776245,0.10026813298463821,0.07518320530653
Bus_49,0.09477785229682922,0.7257524728775024,0.1317209005355835,0.10370437800884247
Bus_50,0.05750871077179909,0.6479888558387756,0.10664098709821701,0.07927939295768738
Bus_51,0.04645158722996712,0.20529484748840332,0.05260607227683067,0.05917016416788101
Bus_52,0.05254456400871277,0.20189480483531952,0.039792973548173904,0.06699813157320023
Bus_53,0.06329519301652908,0.19578905403614044,0.04628082364797592,0.062097251415252686
Bus_54,0.07994840294122696,0.6226219534873962,0.12595884501934052,0.11146688461303711
Bus_55,0.07510174065828323,0.72127765417099,0.12520328164100647,0.11683392524719238
Bus_56,0.07893811166286469,0.7270613312721252,0.1271984726190567,0.11486417800188065
Bus_57,0.05790674686431885,0.5058076977729797,0.10694637149572372,0.08493458479642868
Bus_58,0.04561464861035347,0.2826176881790161,0.0724833607673645,0.06433790177106857
Bus_59,0.1124771311879158,0.8083080053329468,0.10941626131534576,0.12980544567108154
Bus_60,0.08272257447242737,0.5848038196563721,0.08370476961135864,0.13032568991184235
Bus_61,0.08065228909254074,0.6025081872940063,0.08918491005897522,0.13921251893043518
Bus_62,0.0821886733174324,0.49923044443130493,0.09512239694595337,0.1325877159833908
Bus_63,0.10352107137441635,0.6034252047538757,0.11252477020025253,0.15599791705608368
Bus_64,0.09545984119176865,0.4780028760433197,0.08534833788871765,0.17710913717746735
Bus_65,0.14443598687648773,0.6492177844047546,0.142949178814888,0.26809436082839966
Bus_66,0.19808469712734222,0.8015539646148682,0.14182406663894653,0.11216855049133301
