,GNN,Neural Network,Linear Regression,Rolling Mean
Bus_1,0.23174451,1.3621173,0.24024321,0.34858674
Bus_2,0.20817348,0.646971,0.14697208,0.27342004
Bus_3,0.20045283,1.1760077,0.19804163,0.31061965
Bus_4,0.14356542,0.5388315,0.13347957,0.21826498
Bus_5,0.10813098,0.40108085,0.17644227,0.13572973
Bus_6,0.14890501,0.4054699,0.108790316,0.2330143
Bus_7,0.16901772,0.44446343,0.102907434,0.19610153
Bus_8,0.1775575,0.63929904,0.3384779,0.19796713
Bus_9,0.06927165,0.6464656,0.33215734,0.047049765
Bus_10,0.31061953,1.7891197,0.41870463,0.37683678
Bus_11,0.19103661,0.9308119,0.18657993,0.28426257
Bus_12,0.40966326,2.7815723,0.6840307,0.6868894
Bus_13,0.19966945,1.1799679,0.20700526,0.30416864
Bus_14,0.1837704,0.40330008,0.09922093,0.19822049
Bus_15,0.2642732,0.9034805,0.20300722,0.3311469
Bus_16,0.14945872,0.50879395,0.11073266,0.22128095
Bus_17,0.14643708,0.41497174,0.07369821,0.13900207
Bus_18,0.25040978,0.73583984,0.18748596,0.4251935
Bus_19,0.25491324,0.67474437,0.13254286,0.2946719
Bus_20,0.22915074,1.0133055,0.19204782,0.2855455
Bus_21,0.23694564,1.237576,0.21721822,0.30457297
Bus_22,0.21146744,0.9396223,0.16910481,0.2583374
Bus_23,0.14172646,0.2389989,0.04633581,0.14255665
Bus_24,0.1260646,0.5464417,0.18502553,0.15679258
Bus_25,0.23232651,1.0755424,0.31886178,0.22965553
Bus_26,0.39768556,1.7746494,0.35333395,0.6627115
Bus_27,0.3001106,1.3469268,0.24391767,0.410002
Bus_28,0.24470904,1.2561325,0.24012426,0.38939336
Bus_29,0.25503373,1.2785958,0.22790712,0.4020946
Bus_30,0.0998284,0.26782665,0.1359381,0.06947716
Bus_31,0.29418096,1.1736866,0.22485305,0.49127948
Bus_32,0.51924425,1.7502186,0.38158202,1.0448893
Bus_33,0.17613046,0.31905696,0.06941176,0.17021933
Bus_34,0.10445912,0.43071532,0.10706562,0.1058688
Bus_35,0.090386376,0.31893668,0.051007845,0.093528196
Bus_36,0.16371782,0.5208001,0.07700961,0.15529828
Bus_37,0.092915565,0.33604562,0.32102743,0.061505776
Bus_38,0.080166124,0.35001853,0.15415503,0.051262114
Bus_39,0.08157064,0.25321448,0.045389395,0.0810997
Bus_40,0.09767591,0.24172014,0.0600657,0.099104196
Bus_41,0.09289681,0.22482692,0.038249813,0.07935985
Bus_42,0.06943565,0.328565,0.039059646,0.07413311
Bus_43,0.08728913,0.15064223,0.038060706,0.097949445
Bus_44,0.07646417,0.22258654,0.038666267,0.08481193
Bus_45,0.07401334,0.25699627,0.040454105,0.08116136
Bus_46,0.053797375,0.517724,0.05720013,0.0628486
Bus_47,0.054328345,0.4114291,0.11826965,0.032039862
Bus_48,0.047467504,0.35003844,0.04151701,0.037148185
Bus_49,0.12913659,0.6871375,0.10086924,0.105332926
Bus_50,0.049692396,0.3930523,0.055743683,0.032285508
Bus_51,0.03806884,0.23605302,0.038314015,0.030706212
Bus_52,0.035932574,0.2649418,0.03503039,0.032425396
Bus_53,0.051811874,0.25060183,0.037104696,0.036023818
Bus_54,0.064495206,0.43824044,0.09673606,0.06746962
Bus_55,0.053268887,0.43863657,0.087069765,0.048384424
Bus_56,0.058946133,0.4584441,0.110902295,0.06015645
Bus_57,0.053850688,0.4194452,0.060036577,0.032011166
Bus_58,0.048853353,0.31548473,0.0506524,0.026626142
Bus_59,0.08418697,0.70433426,0.09686229,0.06002169
Bus_60,0.10189919,0.43759754,0.07055597,0.06189544
Bus_61,0.077667244,0.5210335,0.085372716,0.07377849
Bus_62,0.056735016,0.39512527,0.06469443,0.0564342
Bus_63,0.049654678,0.44589302,0.16142279,0.051500157
Bus_64,0.05778351,0.40053314,0.1544595,0.05856808
Bus_65,0.30964175,1.2201487,0.21288115,0.44915402
Bus_66,0.16871645,1.1303762,0.1414245,0.161336
Bus_67,0.06388595,0.41956738,0.058237113,0.04016085
Bus_68,0.076636344,0.42270902,0.16121483,0.06007384
Bus_69,0.16427322,1.0632503,0.30125108,0.12980296
Bus_70,0.13287792,0.56931245,0.12799636,0.2229378
Bus_71,0.056708902,0.42121875,0.16058338,0.052902628
Bus_72,0.065882504,0.4594573,0.087321326,0.06688311
Bus_73,0.051544435,0.40232313,0.16111484,0.052906044
Bus_74,0.21332747,0.73798466,0.16022286,0.42525762
Bus_75,0.12496743,0.5714904,0.10138457,0.19811404
Bus_76,0.07631395,0.7702612,0.19082943,0.0831289
Bus_77,0.17055611,1.0802559,0.28902298,0.20345327
Bus_78,0.07018142,0.4746496,0.06030169,0.056763653
Bus_79,0.07611814,0.4344365,0.048567817,0.06257677
Bus_80,0.13125452,0.5193466,0.0996391,0.16565247
Bus_81,0.0689917,0.49453157,0.16009639,0.0331481
Bus_82,0.26765022,1.1710997,0.2711293,0.43872127
Bus_83,0.1793482,0.74274844,0.13955356,0.29922277
Bus_84,0.16503383,0.62832034,0.129601,0.29271612
Bus_85,0.16771322,0.41236857,0.119567744,0.28326192
Bus_86,0.13512532,0.7251813,0.1311391,0.26004133
Bus_87,0.10579292,0.80906767,0.25541615,0.08467177
Bus_88,0.12913671,0.6930369,0.13885584,0.23904344
Bus_89,0.22154036,1.5452387,0.3232279,0.3627054
Bus_90,0.17105195,0.9791119,0.17827103,0.2975796
Bus_91,0.06875101,0.63998854,0.15777025,0.07163241
Bus_92,0.14180714,1.1283649,0.3138288,0.16891839
Bus_93,0.09458717,0.38390946,0.07554856,0.15190765
